finalEmotion,anger,trust,fear,sadness,anticipation,disgust,surprise,joy,positive,negetive,Year,Term,Course,Question,tokens,Comments
anger,1,0,1,1,0,1,0,0,1,2,2013,Fall 2013,Operating Syst and Networking,Please suggest areas for improvement of the course and/or instruction method,textbook painful read made topics interesting seem boring,"The textbook was painful to read. It made topics that should be interesting seem boring
"
trust,0,1,1,0,0,0,0,0,2,0,2013,Fall 2013,Operating Syst and Networking,"Please provide other observations, comments, or suggestions",please change test structure actually test the student's knowledge assign programming projects,"Please change the test structure to actually test the student's knowledge, and assign more programming projects.
"
sadness,2,0,0,3,3,1,1,0,7,2,2013,Fall 2013,Operating Syst and Networking,"Please provide other observations, comments, or suggestions",class always starts minutes assigned time period would rather start time leave early disappointed presentation grade felt was participation grade based on individual effort my group put hours of more work presentation and received the grade groups disks that simply printed the chapter and read the book verbatim known it was participation grade would skipped of the creative things make it enjoyable and easy to understand it fair clearly some groups put forth more of effort :(,"Class always starts 15-20 minutes after the assigned time period. I would rather start on time and leave early . I was very disappointed with my presentation grade. I felt that it was more of a participation grade than based on individual effort. My group put hours of more work into our presentation and received the same grade as some groups (Disks) that simply printed off the chapter and read from the book , verbatim. If I had known it was a participation grade I would have skipped all of the creative things we did to make it enjoyable and easy to understand. It wasn't fair because clearly some groups put forth more of an effort .:(
"
anticipation,1,0,0,0,2,1,0,0,0,2,2013,Fall 2013,Operating Syst and Networking,"Please provide other observations, comments, or suggestions",truly feel time class wasted feel that gained anything my time spent in,"I truly feel that my time in this class has been wasted. I do not feel that I have gained anything from my time spent in 3146.
"
trust,0,1,0,0,0,0,0,0,1,0,2014,Fall 2014,Operating Systems and Networking,Please list outstanding strengths of the course and/or instructor,easily available communicate needed,"Easily available to communicate with if needed.
"
trust,0,1,0,0,0,0,0,0,2,1,2014,Fall 2014,Operating Systems and Networking,Please list outstanding strengths of the course and/or instructor,text course often referred the bible operating systems giving excuse to read the strength of this course,"The text for this course is often referred to as the ""bible"" of operating systems. Giving me an excuse to read it was the only strength of this course.
"
trust,0,2,0,0,2,0,1,1,2,0,2014,Fall 2014,Operating Systems and Networking,Please list outstanding strengths of the course and/or instructor,instructor really good nothing really enjoyed the powerpoints put together the pictures that were the textbook nothing else extremely useful,"The instructor is really good at doing nothing. I really enjoyed the powerpoints that were put together with the pictures that were in the textbook and nothing else. Extremely useful.
"
trust,0,1,0,0,1,0,0,0,1,0,2014,Fall 2014,Operating Systems and Networking,Please list outstanding strengths of the course and/or instructor,instructor knows material well,"Instructor knows the material very well.
"
trust,0,1,0,0,0,0,0,0,2,0,2014,Fall 2014,Operating Systems and Networking,Please list outstanding strengths of the course and/or instructor,really wellooking organized important online class,"Really wellooking organized which is very important for an online class.
"
trust,0,1,0,0,0,0,0,0,2,1,2014,Fall 2014,Intro to Computer Networks,Please list outstanding strengths of the course and/or instructor,text course often referred the bible computer networking giving excuse to read the strength of this course,"The text for this course is often referred to as the ""bible"" of computer networking. Giving me an excuse to read it was the only strength of this course.
"
trust,0,1,0,0,1,0,1,1,1,0,2014,Fall 2014,Intro to Computer Networks,Please list outstanding strengths of the course and/or instructor,project course mates good idea,"Doing the project with course mates was a good idea.
"
trust,0,2,0,0,0,0,0,1,2,0,2014,Fall 2014,Intro to Computer Networks,Please list outstanding strengths of the course and/or instructor,great teacher helpful available,"Great teacher, helpful, and available
"
joy,0,0,0,0,0,0,0,1,1,1,2014,Fall 2014,Intro to Computer Networks,Please list outstanding strengths of the course and/or instructor,opinion course outstanding strengths questions often lifted the book verbatim the topics were consistent introduction networking course,"In my opinion this course had few outstanding strengths. The questions were often lifted from the book verbatim. The topics were not consistent with an introduction to networking course.
"
trust,0,2,0,0,2,0,2,2,2,0,2014,Fall 2014,Intro to Computer Networks,Please list outstanding strengths of the course and/or instructor,good communicating good listening and adjusting certain circumstances,"Good a communicating and good at listening and adjusting to certain circumstances
"
trust,1,3,0,0,0,0,0,1,6,2,2014,Fall 2014,Operating Systems and Networking,Please suggest areas for improvement of the course and/or instruction method,test questions word word answer found the boo the way to get tests grade greater to find format the book supported searching search key words find the exact place in the text that the question came even then was garente that you would get right due to ambiguious wording,"the provided powerpoints were useless, most questions to homeworks could be found by searching on the internet, and testing was a nightmare. All test questions had to be the word for word answer found in the boo. The only way to get through tests with a grade greater than an F was to find a format of the book that supported searching, then search key words until you find the exact place in the text that the question came from, and even then there was no garente that you would get it right due to ambiguious wording
"
anticipation,1,0,0,0,4,0,0,0,3,1,2014,Fall 2014,Operating Systems and Networking,Please suggest areas for improvement of the course and/or instruction method,online course notes an in-class course posted moodle feel like this university would put investigation fraud the details this course administrated made public if the university wants this be an online course it go the trouble of designing an online curriculum not simply making the exams open book open note through moodle,"This is not an online course. It the notes from an in-class course posted on Moodle. I feel like this university would be put under investigation for fraud if the details of how this course was administrated were made public. If the university wants this to be an online course, it should go through the trouble of designing an online curriculum and not simply making the exams ""open book / open note"" through Moodle.
"
fear,0,0,1,0,0,0,0,0,1,0,2014,Fall 2014,Operating Systems and Networking,Please suggest areas for improvement of the course and/or instruction method,tests incredibly thourough much the learned information so about finding exact scentences the book and comparing statements the test to check validity,"The tests are incredibly thourough and not so much about the learned information but more so about finding exact scentences in the book and comparing them to statements on the test to check for validity.
"
trust,0,1,0,0,0,0,0,0,0,0,2014,Fall 2014,Operating Systems and Networking,Please suggest areas for improvement of the course and/or instruction method,spread assignments add new ones the end semester comes week period students touch material related the course,"Spread out the assignments or add new ones so that when the end of semester comes their is not a 3 week period in which students don't touch any material related to the course
"
trust,0,2,1,0,1,0,1,1,1,0,2014,Fall 2014,Operating Systems and Networking,Please suggest areas for improvement of the course and/or instruction method,since class offered online would suggest taking group project instead individual project difficult get the group to meet let alone the work of the work was done the people wanted to get good grade,"Since this class of offered 100% online, I would suggest taking out the group project and instead having an individual project. It was very difficult to get the group to meet, let alone do the work. Most of the work was done by the few people who wanted to get a good grade.
"
trust,0,4,2,1,2,0,1,4,10,2,2014,Fall 2014,Operating Systems and Networking,Please suggest areas for improvement of the course and/or instruction method,assign group projects online class reason take classes online the choice prefer work because enjoy the freedom required meet an established place and time and group projects nullify of things come original content for the course reading the text the slides from the publisher the supplemental videos were posted people on tube and the homework questions and exams were pulled straight from the text course provided with absolutely advantage simply buying the textbook and browsing you tube on my own if you must have group project make semester-long thing builds on new topics covered don't make it focus on solving one problem from one sub-section of one chapter from the text,"Don't assign group projects for an online only class; the reason I take classes online is because if I have the choice I prefer doing work on my own and because I enjoy the freedom of not being required to meet at an established place and time, and group projects nullify both of those things. Come up with some original content for the course. Our reading was from the text, the slides were from the publisher, the supplemental videos were posted by other people on YouTube, and the homework questions and exams were pulled straight from the text. This course provided me with absolutely no advantage over simply buying the textbook and browsing YouTube on my own. If you must have a group project, make it a semester-long thing that builds on itself as new topics are covered; don't make it focus on solving one problem from one sub-section of one chapter from the text.
"
trust,0,3,0,0,0,0,0,0,2,0,2014,Fall 2014,Operating Systems and Networking,Please suggest areas for improvement of the course and/or instruction method,teacher communicate us communication with us,"The teacher does not communicate with us at all. Have more communication with us.
"
fear,0,0,1,0,0,0,0,0,0,0,2014,Fall 2014,Operating Systems and Networking,Please suggest areas for improvement of the course and/or instruction method,test online difficult questions were the questions requiring detail,"The test online were very difficult because questions were the same with some questions requiring just more detail
"
trust,0,2,0,0,2,0,0,0,1,0,2014,Fall 2014,Operating Systems and Networking,Please suggest areas for improvement of the course and/or instruction method,professor lacks communication skills takes long time reply to emails emails clear,"Professor lacks communication skills. Takes a long time to reply to emails and emails are not very clear.
"
trust,0,1,0,0,0,0,0,0,1,0,2014,Fall 2014,Operating Systems and Networking,Please suggest areas for improvement of the course and/or instruction method,would suggest letting students pick partners group project,"I would suggest letting students pick their partners for the group project.
"
trust,2,5,3,2,4,0,0,0,1,3,2014,Fall 2014,Operating Systems and Networking,Please suggest areas for improvement of the course and/or instruction method,please remove programming group project class believe the students enrolled this class expecting online course group project component many people choose to enroll in an online course of scheduling conflicts due to work other classes home life huge pain to have to corral the the students to produce work for group project in time and especially since the form of communication was email saw the other students every other day in class believe that the results would have differed also believe that the project's programming aspect was quite challenge for students and were adequately prepared for it none of the programming classes that have taken ever taught the class to program would not mind project that required writing one if learned how to do it beforehand either in another programming class if this class had taught us the project was even assigned,"Please remove the programming group project for this class. I nor do I believe that any of the other students enrolled in this class were expecting an online course to have a group project component. Many people choose to enroll in an online course because of scheduling conflicts due to work, other classes and home life. It was a huge pain to have to corral the the students to produce work for our group project in time and especially so since the only form of communication was through email, if I saw the other students every other day in class I believe that the results would have differed. I also believe that the project's programming aspect was quite a challenge for most students and we were not adequately prepared for it. None of the programming classes that I have taken a UNCC ever taught the class how to program a GUI. I would not mind doing a project that required writing one if I had learned how to do it beforehand either in another programming class or if this class had taught us before the project was even assigned.
"
trust,0,2,0,1,1,0,1,2,4,1,2014,Fall 2014,Intro to Computer Networks,Please suggest areas for improvement of the course and/or instruction method,relying students read the text learn incredibly inefficient good method to encourage students to learn,"Just relying on the students to read the text and learn is incredibly inefficient. This isn't a good method to encourage students to learn.
"
trust,0,4,0,0,2,0,0,4,4,0,2014,Fall 2014,Intro to Computer Networks,Please suggest areas for improvement of the course and/or instruction method,think relying book publishers slides video content less would helpful also providing focused lecture notes and possibly providing videos that tightly integrated course objectives always clear,"I think that relying on the book publishers slides and video content less would be helpful. Also providing more focused lecture notes and possibly providing videos that are tightly integrated with course objectives. Which to me were not always clear.
"
trust,0,1,0,0,0,0,0,1,1,0,2014,Fall 2014,Intro to Computer Networks,Please suggest areas for improvement of the course and/or instruction method,since online course think much room improvement,"Since it was an online course, I don't think there is much room for improvement.
"
trust,2,5,3,2,4,0,0,0,1,3,2014,Fall 2014,Intro to Computer Networks,Please suggest areas for improvement of the course and/or instruction method,please remove programming group project class believe the students enrolled this class expecting online course group project component many people choose to enroll in an online course of scheduling conflicts due to work other classes home life huge pain to have to corral the the students to produce work for group project in time and especially since the form of communication was email saw the other students every other day in class believe that the results would have differed also believe that the project's programming aspect was quite challenge for students and were adequately prepared for it none of the programming classes that have taken ever taught the class to program would not mind project that required writing one if learned how to do it beforehand either in another programming class if this class had taught us the project was even assigned,"Please remove the programming group project for this class. I nor do I believe that any of the other students enrolled in this class were expecting an online course to have a group project component. Many people choose to enroll in an online course because of scheduling conflicts due to work, other classes and home life. It was a huge pain to have to corral the the students to produce work for our group project in time and especially so since the only form of communication was through email, if I saw the other students every other day in class I believe that the results would have differed. I also believe that the project's programming aspect was quite a challenge for most students and we were not adequately prepared for it. None of the programming classes that I have taken a UNCC ever taught the class how to program a GUI. I would not mind doing a project that required writing one if I had learned how to do it beforehand either in another programming class or if this class had taught us before the project was even assigned.
"
trust,0,4,2,1,2,0,1,4,10,2,2014,Fall 2014,Intro to Computer Networks,Please suggest areas for improvement of the course and/or instruction method,assign group projects online class reason take classes online the choice prefer work because enjoy the freedom required meet an established place and time and group projects nullify of things come original content for the course reading the text the slides from the publisher the supplemental videos were posted people on tube and the homework questions and exams were pulled straight from the text course provided with absolutely advantage simply buying the textbook and browsing you tube on my own if you must have group project make semester-long thing builds on new topics covered don't make it focus on solving one problem from one sub-section of one chapter from the text,"Don't assign group projects for an online only class; the reason I take classes online is because if I have the choice I prefer doing work on my own and because I enjoy the freedom of not being required to meet at an established place and time, and group projects nullify both of those things. Come up with some original content for the course. Our reading was from the text, the slides were from the publisher, the supplemental videos were posted by other people on YouTube, and the homework questions and exams were pulled straight from the text. This course provided me with absolutely no advantage over simply buying the textbook and browsing YouTube on my own. If you must have a group project, make it a semester-long thing that builds on itself as new topics are covered; don't make it focus on solving one problem from one sub-section of one chapter from the text.
"
anticipation,0,1,0,0,2,0,0,0,2,0,2014,Fall 2014,Operating Systems and Networking,"Please provide other observations, comments, or suggestions",responses survey intended to indicate shortfalls course instructor many of the questions simply not apply since took the course online,"My responses to this survey are not intended to indicate any shortfalls of the course and/or instructor. Many of the questions simply do not apply since I took the course online.
"
trust,1,6,0,2,1,3,0,1,10,7,2014,Fall 2014,Operating Systems and Networking,"Please provide other observations, comments, or suggestions",really looking forward taking course learn something i'm satisfied unless understand fundamental level therefore was greatly looking forward to getting introduction to most basic level software computing system however the laziness of the instructor exhibited primarily over-reliance the sometimes heady complicated text well as her complete lack of original learning material and the inefficient and sloppy style of instruction left disappointed and almost as ignorant of operating systems fundamentals as was took the course,"I was really looking forward to taking this course; when I learn about something, I'm not satisfied unless I can understand it at its most fundamental level. Therefore, I was greatly looking forward to getting an introduction to the most basic level of software in any computing system. However, the laziness of the instructor (exhibited primarily by her over-reliance on the sometimes heady and complicated text, as well as her complete lack of original learning material) and the inefficient and sloppy style of ""instruction"" left me disappointed and almost as ignorant of operating systems fundamentals as I was before I took the course.
"
anticipation,1,1,0,0,3,2,1,1,4,2,2014,Fall 2014,Operating Systems and Networking,"Please provide other observations, comments, or suggestions",learned nothing course required course is group project handful of-question assignments is little motivation learn material care nothing took test knowing absolutely nothing about the material yet came you allow three hours on question online exam would say this course waste time actually to spend time on it was big waste of my money though,"I learned nothing in this course. When all that is required for the course is 1 group project and a handful of 2-question assignments, there is little motivation to learn material you care nothing about. I took each test knowing absolutely nothing about the material, yet came out with As on both because you allow three hours on a 20 question online exam. I would say this course was a waste of my time, but I didn't actually have to spend any time on it. It was a big waste of my money though.
"
trust,0,3,0,0,3,0,1,1,6,0,2014,Fall 2014,Operating Systems and Networking,"Please provide other observations, comments, or suggestions",book chosen course amazing learning tool is lot useful necessary information covered the textbook this hardly applies classes hope the instructor continue using this book in the future,"The book which was chosen for this course is an amazing learning tool. There is a lot of very useful and necessary information covered in the textbook. This hardly applies to all classes. I hope that the instructor will continue using this book in the future.
"
anticipation,0,1,0,0,2,0,1,1,2,0,2014,Fall 2014,Operating Systems and Networking,"Please provide other observations, comments, or suggestions",absolutely online course networking section should be course time dedicated operating systems this course feel like barely learned anything this course despite earning an and need to take proper course point to compensate,"This should absolutely not be an online course, and the Networking section should be its own course with more time dedicated to Operating Systems in this course. I feel like I barely learned anything from this course despite earning an A, and I will need to take a proper OS course at some point to compensate.
"
trust,1,4,1,2,1,3,0,0,7,8,2014,Fall 2014,Intro to Computer Networks,"Please provide other observations, comments, or suggestions",really looking forward taking course days computer networks almost synonymous computers with rise the cloud and saa one cannot software engineer developer without solid understanding of networks work however the laziness of the instructor exhibited primarily over-reliance the sometimes heady and complicated text well as her complete lack of original learning material and the inefficient and sloppy style of instruction left disappointed and almost as ignorant of networking as was took the course,"I was really looking forward to taking this course; these days, computer networks are almost synonymous with computers themselves, and with the rise of the cloud and SaaS, one cannot be a software engineer or developer without having a solid understanding of how networks work. However, the laziness of the instructor (exhibited primarily by her over-reliance on the sometimes heady and complicated text, as well as her complete lack of original learning material) and the inefficient and sloppy style of ""instruction"" left me disappointed and almost as ignorant of networking as I was before I took the course.
"
trust,0,1,0,0,1,0,0,0,0,0,2014,Fall 2014,Intro to Computer Networks,"Please provide other observations, comments, or suggestions",neutral answers means section online class,"Neutral answers means N/A because this section is an online class
"
fear,0,0,1,0,0,0,0,0,0,1,2014,Fall 2014,Intro to Computer Networks,"Please provide other observations, comments, or suggestions",group project class made seemed little relevance to the course required to program simulation packet routing complete ... which have only touched on the barest form in programming classes barest form mean nothing user input dialog boxes displaying simple messages to the user needless to say this was quite difficult,"The group project for this class, (which I made an A on) seemed to have little relevance to the course itself. I was required to program a simulation of packet routing, complete with a GUI...which we have only only touched on in the barest form in my programming classes at UNCC. By barest form I mean nothing more than user input and Dialog boxes displaying simple messages to the user. So needless to say this was quite difficult.
"
trust,0,1,0,0,1,0,0,1,1,0,2015,Fall 2015,Operating Systems and Networking,Please list outstanding strengths of the course and/or instructor,friendly,"Friendly.
"
trust,0,1,0,0,1,0,0,0,2,0,2015,Fall 2015,Operating Systems and Networking,Please list outstanding strengths of the course and/or instructor,material within the course dry instructor tried make interesting,"The material within the course was very dry, but my instructor tried to make it interesting.
"
trust,0,4,0,0,2,0,1,1,4,0,2015,Fall 2015,Operating Systems and Networking,Please list outstanding strengths of the course and/or instructor,never instructor less qualified teach instructor,"I have never had an instructor less qualified to teach than this instructor.
"
trust,0,3,0,0,0,0,0,0,2,0,2015,Fall 2015,Operating Syst and Networking,Please list outstanding strengths of the course and/or instructor,provides broad understanding operating system interacts the hardware higher level programs,"It provides a broad understanding of how the operating system interacts with the hardware and higher level programs.
"
trust,0,4,0,0,1,0,1,2,4,0,2015,Fall 2015,Operating Syst and Networking,Please list outstanding strengths of the course and/or instructor,wonderful professor nice very helpful amazing instructor,"Wonderful professor! Very nice, very helpful, and an amazing instructor!
"
trust,0,1,0,0,0,0,0,0,2,0,2015,Fall 2015,Intro to Computer Networks,Please list outstanding strengths of the course and/or instructor,dr tzacheva always available whenever needed ask question needed guidance assignment,"Dr. Tzacheva was always available whenever I needed to ask a question or needed guidance on an assignment
"
trust,0,2,0,0,1,0,0,0,2,0,2015,Fall 2015,Intro to Computer Networks,Please list outstanding strengths of the course and/or instructor,instructor great listener respects students tries help best as she,"My instructor is a great listener and respects all students. She tries to help you as best as she can
"
trust,0,2,0,0,2,0,0,1,2,0,2015,Fall 2015,Operating Systems and Networking,Please suggest areas for improvement of the course and/or instruction method,hire different instructor please,"Hire a different instructor, please.
"
anger,1,0,0,0,0,0,0,0,2,1,2015,Fall 2015,Operating Systems and Networking,Please suggest areas for improvement of the course and/or instruction method,make lectures interesting grab people's attention,"Make lectures more interesting and grab people's attention.
"
trust,0,2,0,1,1,0,0,2,4,0,2015,Fall 2015,Operating Systems and Networking,Please suggest areas for improvement of the course and/or instruction method,think needs confident teaching she pretty quiet think students take advantage and take seriously,"I think she needs to be more confident when she's teaching. She is pretty quiet and I think students take advantage of that and don't take her seriously.
"
trust,0,1,0,0,0,0,0,1,1,1,2015,Fall 2015,Operating Systems and Networking,Please suggest areas for improvement of the course and/or instruction method,understand course bound dry can't seem much room improvement,"I understand that this course is bound to be very dry, I can't seem much room for improvement.
"
trust,0,2,0,0,1,0,0,1,3,1,2015,Fall 2015,Operating Systems and Networking,Please suggest areas for improvement of the course and/or instruction method,small introduction many students talked to class prior to taught us to create is required group project asked going to learn instructor said we already know them,"A small introduction to GUIs, as many of the students I talked to didn't have a class prior to this that taught us how to create GUIs, but was required for our group project. When asked if we were going to learn about them, instructor said we should already know them.
"
trust,0,4,0,0,1,1,0,1,4,2,2015,Fall 2015,Operating Systems and Networking,Please suggest areas for improvement of the course and/or instruction method,flipped class room the lecture version class clearly designed online waste of time the lectures seemed useless relevant to the tests tests questions came nearly word for word the text book and the book be found online simple and easily get's every test and assignment control,"The flipped class room for the lecture version of a class clearly designed to be online was just a waste of time. The lectures seemed useless and not relevant to the tests. All tests questions came nearly word for word from the text book and as the book can be found online its a simple ctrl + f and easily get 100's on every test and assignment.
"
trust,0,1,1,0,0,0,0,0,1,1,2015,Fall 2015,Operating Syst and Networking,Please suggest areas for improvement of the course and/or instruction method,group project opinion individual assignment reason talking groups have gathered that ended happening was one person would the entire project to avoid the communication overhead,"There was a group project that in my opinion should have been an individual assignment. The reason is because from talking to other groups, I have gathered that what ended up happening was one person would do the entire project to avoid having the communication overhead.
"
trust,0,1,0,0,0,0,0,0,0,0,2015,Fall 2015,Operating Syst and Networking,Please suggest areas for improvement of the course and/or instruction method,needs taught class,"This needs to be taught in class.
"
trust,0,3,0,1,1,0,0,1,2,1,2015,Fall 2015,Intro to Computer Networks,Please suggest areas for improvement of the course and/or instruction method,would generally helpful professor could be bothered show to class time minutes late every class could actually answer questions course material students teaching course,"Would generally be helpful if professor could be bothered to show up to class on time, not 10+ minutes late every class, could actually answer questions about course material, and didn't have students teaching 50% of the course.
"
fear,0,0,1,0,1,0,0,0,0,0,2015,Fall 2015,Intro to Computer Networks,Please suggest areas for improvement of the course and/or instruction method,time group class discuss topics regarding homework questions may the class,"More time with your group in class to discuss topics regarding the homework or any other questions you may have about the class
"
anticipation,0,0,0,0,1,0,0,0,0,0,2015,Fall 2015,Intro to Computer Networks,Please suggest areas for improvement of the course and/or instruction method,class three hours long,"This class should not be three hours long.
"
sadness,0,2,1,3,1,0,0,1,8,5,2015,Fall 2015,Intro to Computer Networks,Please suggest areas for improvement of the course and/or instruction method,instructor absolutely impossible follow the lectures essentially reading shorthand notes powerpoint much confusing necessary accent hard to understand person lived abroad feels completely pointless compared to the work the homework group assignments and even tests seem completely different from the actual course content is fair to give open-note exams the course seems superfluous and uninteresting forget in class due to the inconsistent nature group work discussion points,"The instructor is absolutely impossible to follow. The lectures are essentially reading shorthand notes from a powerpoint, much more confusing than necessary, in an accent very hard to understand (for a person who has lived abroad), and feels completely pointless compared to the work. The homework, group assignments, and even tests seem completely different from the actual course content. It is fair to give open-note exams, but the course itself seems superfluous and uninteresting. I forget I am in this class due to the inconsistent nature of group work, discussion points.
"
anticipation,1,0,0,0,2,0,0,0,0,1,2015,Fall 2015,Intro to Computer Networks,Please suggest areas for improvement of the course and/or instruction method,writing board make sure the markers write half the time could read written also people the front row cannot see what written on the opposite side the screen sitting,"When writing on the board make sure the markers write, half the time I could not read what was written. Also people in the front row cannot see what is being written on the opposite side of the screen from where they are sitting.
"
trust,0,1,1,0,0,0,0,1,3,0,2015,Fall 2015,Operating Systems and Networking,"Please provide other observations, comments, or suggestions",course miles difficult would have been much more helpful could asked information this course and be able answer correctly understand it also to to learn material it should be up to to ensure that actually learned something anything have,"This course should have been miles more difficult and would have been much more helpful if it was. I could be asked any information about this course and i wouldn't be able to answer them correctly. As I understand that it is also up to me to learn the material it should be up to you to ensure that ive actually learned something/anything.
"
trust,0,4,0,0,1,0,0,1,6,0,2015,Fall 2015,Operating Systems and Networking,"Please provide other observations, comments, or suggestions",even though fairly poor team group project helped learn topics hand think my professor pretty decent job the course material,"Even though I had a fairly poor team for my group project, it helped me learn more about the topics at hand. I think my professor did a pretty decent job with the course material.
"
trust,5,6,4,3,6,4,1,1,7,8,2015,Fall 2015,Operating Systems and Networking,"Please provide other observations, comments, or suggestions",would like preface asking to please excuse snappiness rashness writing upset this professor performed this professor laziest professor ever come across lectures reading notes writing bunch of words the board usually have relevance to any assignments or the tests assignments consist of questions semi-randomly plucked the textbook video assignments are just you tube videos are questions taken straight from the video time management lectures is awful initially has assignments due at the end of class either leaves minutes to turn in or extends the deadline to midnight she left no time at group work and presentations are complete waste of time tests are absolutely horrible and lazily thrown together one question's correct answer based on the difference exits and exists would like to mention that think the flipped class style of the course is to blame am taking accounting class which is flipped class and is actually quite good but in that case the professor actually puts the course example makes all of the videos watch outside of class rather plucking videos from you tube,"I would like to preface this by asking you to please excuse any snappiness or rashness in my writing. I am very upset at how this professor has performed. This professor is the laziest professor I have ever come across. Lectures are just reading off of notes and writing a bunch of words on the board, which usually have no relevance to any assignments or the tests. Assignments consist of 2 questions semi-randomly plucked from the textbook. Video assignments are just YouTube videos (that are not hers) with questions taken straight from the video. Time management for her lectures is awful, as she initially has assignments due at the end of class but either a) leaves about 10 minutes to turn them in or b) extends the deadline to midnight because she left no time at all. Group work and presentations are a complete waste of time. Tests are absolutely horrible and lazily thrown together (One question's correct answer was based on the difference between ""exits"" and ""exists""). I would like to mention that I think the flipped class style of the course is NOT to blame. I am taking an Accounting class which is a flipped class and it is actually quite good. But in that case the professor actually puts EFFORT into the course (Example: He makes all of the videos we watch outside of class himself rather than plucking videos from YouTube).
"
trust,0,1,0,0,1,1,1,1,2,0,2015,Fall 2015,Intro to Computer Networks,"Please provide other observations, comments, or suggestions",power point spit inviting way learn material,"material is literally taken from the book and slapped onto a PowerPoint and spit out; not a very inviting way to learn material
"
anticipation,0,0,0,0,1,0,0,0,0,0,2015,Fall 2015,Intro to Computer Networks,"Please provide other observations, comments, or suggestions",well thought plans ideas,"She has well thought out plans and ideas
"
